num,api,keys2
628,indeed,Jobs Search
629,Infobip,"Messaging Messaging,Mobile,Security,Text-to-Speech"
630,Infochimps Geo,Mapping Wiki
631,Infochimps IP Intelligence Geolocation,Data
632,InfoChimps Social,Social
633,Infogroup Infoconnect,"Database Data,Marketing,Analytics,Enterprise,B2B"
634,Information Machine,"eCommerce Aggregation,Coupons,Food,Grocery,Health,Loyalty,Platform-as-a-Service,Prices,Purchasing,Recommendations,Rewards"
635,Infosniper.net,Mapping Domains
636,Instagram Graph,"Photos Mobile,Social"
637,Instagram Real-time,"Photos Mapping,Real Time,Webhooks"
638,Instapaper,Bookmarks
639,Intellinote,"Project Management Collaboration,Documents,Forms,Notes,Personal Information Management,Tasks"
640,Interfax,Fax Email
641,Internet Archive,"Library Books,History,Movies,Music,Reference"
642,Intuit QuickBooks Online Accounting,"Accounting Enterprise,Office,Transactions"
643,IP-API.com Geolocation,"Tools Mapping,Addresses"
644,IP2Location,"Mapping Advertising,API"
645,Ipernity,"Media Photos,Music,Video,Music,Social"
646,ipinfo.io IP geolocation,"Location Customization,Geography,Mapping,Tools"
647,iRail,Transportation Belgian
648,is.gd,
649,ISBN db,Reference Search
650,iSpeech Automated Speech Recognition,"Tools Text-to-Speech,Voice,Voice,Recognition"
651,Issuu Search,File Sharing Documents
652,iTunes and iTunes Connect,"Other Mobile,eCommerce"
653,IVA Video,"Video Games,Movies,TV"
654,Jaiku,"Messaging Mobile,Blogging"
655,JamBase,Music Events
656,Jamendo,Music
657,Janrain Engage,"Security Tools,Social,Authentication"
658,Jawbone UP,Tools Health
659,Jet,"eCommerce Marketplace,Purchasing,Sales"
660,Joost,Video
661,jsFiddle,Tools Design
662,JSON Tools,Tools Validation
663,Juju Publisher,Jobs Search
664,Juno Download,Music
665,Justin.tv,Video TV
666,Kanban Tool,"Project Management Collaboration,Office,Reporting,Time Tracking"
667,Kayak,Travel Search
668,Kewego Video,Video
669,KISSmetrics,Analytics Marketing
670,Kiva,"Financial Banking,Funding,Non-Profit"
671,KooKoo,"Telephony Cloud,Indian"
672,Kounta,"Payments Sales,eCommerce,Mobile"
673,Kraken,"Financial Bitcoin,Currency"
674,Kuler,Other Design
675,Kwwika,Real Time Notifications
676,Kyte,Video
677,Laravel,Framework Application Development
678,Last 10K Company,"Financial Data-as-a-Service,Financial,Stocks"
679,Last.fm,Music
680,Lat49,Advertising Mapping
681,LaunchBit,"Advertising Email,Campaigns,Marketing"
682,Launchpad,Enterprise Project Management
683,LaunchRock,"Social Advertising,Marketing"
684,Layar,"Other Mobile,Augmented Reality"
685,LazyTune,Music Search
686,LevelUp,"Payments Financial,Merchants"
687,Liberty Reserve,Payments Financial
688,Library of Congress SRW,"Standards Books,Reference"
689,LibraryThing,"Reference Library,Books"
690,Lighthouse,"Project Management Enterprise,Collaboration,Tools"
691,Lightspeed Retail,"Sales eCommerce,Engagement,Inventory,Products"
692,LinkedIn,Social Enterprise
693,LinkShare,eCommerce
694,LinkUp Job Search Engine,"Jobs Business,Economics"
695,Linode,
696,LiqPAY,Payments
697,LiveJournal,Blogging Social
698,Livekick,"Events Music,Social"
699,LiveVideo,Video Media
700,Localmind,"Recommendations Localization,Social,Mobile,Q&amp;A,Q&amp;A"
701,LocalSchoolDirectory,"Reference Ratings,Search,Education"
702,Lockerz,Photos Social
703,LocLizard,"Tools Mapping,Mobile"
704,LongURL,
705,Looker,"Analytics Dashboards,Data,Reporting"
706,Loxcel,Mapping Mobile
707,Ltcoin,"Financial Bitcoin,Data Mining,Currency"
708,Ludei Cloud,Application Development
709,Lufthansa Open,"Transportation Air Travel,Logistics,Tourism,Travel"
710,Lulu Publishing,"Printing B2B,Books,eCommerce,Printing,Publishing"
711,Lyft,Ride Share Transportation
712,LyrDB,"Music Search,Lyrics,Database"
713,LyricFind,"Music Lyrics,Reference"
714,Ma.gnolia,Bookmarks Collecting
715,MAAS2,Astronomy Weather
716,Magento SOAP,eCommerce
717,Mailcheap,Email Hosting
718,MailChimp,"Email Business,Marketing,Webhooks"
719,Mailgun,Email
720,Mailjet,"Email Advertising,Analytics,Campaigns,Marketing"
721,Maluuba Natural Language,"Telephony Language,Semantics"
722,Mandrill,Email
723,Map24 AJAX,Mapping Viewer
724,Mapbox,"Mapping Geography,Visualizations"
725,Mapfluence,"Mapping Data,Visualizations,Viewer"
726,MapLarge,"Mapping Mobile,Charts"
727,MapLight,Government
728,MapMyFitness,"Fitness Health,Sports"
729,Maponics,"Mapping Addresses,Postal,Postcodes"
730,MapQuest,Mapping Viewer
731,MapQuest Geocoding,Mapping
732,Mapstraction,Mapping
733,Marketo,"Enterprise Campaigns,Financial,Marketing"
734,Martindale-Hubbell,"Reference Database,Directories,Law"
735,Mbar,"Events Database,Social,Music"
736,mcxNOW,"Financial Bitcoin,Stocks,Platform-as-a-Service,Currency,Payments"
737,Meaningtool,"Other Blogging,Semantics"
738,MediaFire,"File Sharing Cloud,Storage"
739,Medianet Open MP3,"Music eCommerce,Streaming"
740,MediaTemple,Hosting
741,Medioh,Video Search
742,Meebo,"Chat Video,Voice"
743,Meetup,Social Events
744,MEGA,"Storage Cloud,Security"
745,Mendeley,"Science Annotations,Big Data,Documents,Education,Reference"
746,Mera Caar,Auto Data-as-a-Service
747,mesibo Client-side,"Chat API,Messaging,Real Time,Video,Voice"
748,mesibo Server side,"Chat Messaging,Real Time,Video,Voice"
749,Met.no Weather,Weather
750,MetaCarta,Mapping
751,MetaLocator,Mapping
752,Metro Realtime,Transportation
753,Metro Transit NexTrip,Transportation
754,Microsoft adCenter,Advertising Financial
755,Microsoft Bing,Search
756,Microsoft Bing Maps,Mapping Viewer
757,Microsoft Bot Framework Bot Direct Line,Bots Chat
758,Microsoft Cognitive Services Emotion,"Recognition Images,Intelligence,Machine Learning"
759,Microsoft MapPoint,Mapping
760,Microsoft MSDN,Reference
761,Microsoft Silverlight Streaming,"Other Cloud,Media,Storage"
762,Microsoft Translator,Translation Language
763,MindTouch Deki Wiki,Wiki
764,Misfit,"Wearable Fitness,Health,Internet of Things"
765,Miso,Social TV
766,Mist.io,"Web Site Management Aggregation,Analytics,Cloud,Mobile,Monitoring,Real Time,Security,Storage"
767,Mixpanel,"Analytics Mobile,Real Time"
768,MNB Exchange Rate,"Financial Tools,Conversions,Currency"
769,Mobile Phone Megastore,"eCommerce Mobile,Search,Telephony"
770,Mobypicture,"Photos Social,Mobile"
771,Mochi Media Flash Games,Games
772,Mocky,"Tools Testing,Application Development,Application Development,Application Development"
773,Moneybookers,Payments eCommerce
774,MongoLab,"Database Database-as-a-Service,Cloud,Hosting"
775,MOO,"Photos Printing,Business"
776,Moodle,"Learning Management Systems Collaboration,Education,Open Source"
777,Moonshadow Mobile,"Reference Demographics,Demographics,Visualizations,Mapping"
778,Moreover,News Services
779,MotorsportReg.com,"Sports Auto,Business,Events,Hobbies"
780,Moviepilot,"Recommendations Search,Movies"
781,Mozscape,"Marketing Data,SEO,URLs"
782,MSN Messenger,Chat Applications
783,Mt Gox,Financial Bitcoin
784,MTV,Video Music
785,Multimap,Mapping
786,MusicBrainz,Music Semantics
787,MusicMobs,Music
788,Musikki Music,"Music Data,Recommendations,Reference"
789,MusixMatch,"Music Lyrics,Metadata"
790,MyBlogLog,Social Blogging
791,mydigitalstructure,Backend Applications
792,MyMemory,"Tools Language,Translation"
793,MyNetDiary Food Search,"Medical Health,Fitness,Food,Dieting"
794,MYOB AccountRight Live,"Financial Accounting,Australian,Accounting"
795,MYOB Essentials Accounting,Accounting
796,Myplaylist,Music Photos
797,MySpace,Social
798,MyVox,"Telephony Media,Voice"
799,MyWot,Security Reputation
800,NASA,Mapping
801,NASA Mars Rover Photos,"Science Astronomy,Photos"
802,National Library of Australia Trove,"Search Australian,Library"
803,National Library of Medicine DIRLINE,Medical Reference
804,National Weather Service NDFD,Weather Government
805,NationBuilder,"Social Community,Organization,Government,Management"
806,Natureserve species,"Education Data,Science"
807,Naver,Search
808,NCAA Mens College Basketball,Sports
809,NCBI Entrez,Medical Science
810,nd url,Tools URL Shortener
811,Nephoscale,"Storage Hosting,Cloud"
812,Nestoria,"Real Estate England,Spanish,Search"
813,Netflix,Video
814,Neto,"eCommerce Accounting,Currency,Ordering,Payments,Shipping"
815,Netvibes,Widgets
816,New Relic,Analytics
817,NewsCloud,News Services
818,NewsGator,"Feeds Social,Business"
819,NHS,"Medical England,Government,Health"
820,Ning,Social
821,NLP Tools,"Natural Language Processing News Services,Recognition"
822,NOAA Climate Data Online,Weather Data
823,NOAA ERDDAP,"Science Data,Marine,Open Data"
824,NOAA National Weather Service (NWS) NDFD SOAP,Weather Government
825,NolaPro,Financial Accounting
826,Norway Weather,Weather Nordic
827,Notifo,"Messaging Mobile,Notifications"
828,Nozbe,Personal Information Management Tasks
829,NPR One Station Finder,News Services Music
830,Numbers,"Reference Math,Random"
831,NYC Open Data,Government New York City
832,Odnoklassniki,Social Russian
833,OECD Open Data,"Reference Data,Financial,Statistics"
834,Ohloh,Social Open Source
835,OIPA: Openaid IATI,"Data-as-a-Service Accounting,Aggregation,Agriculture,Analytics,API,Application Development,Asia,Automation,Backend-as-a-Service,Charity,Classification,Collecting,Comparisons,Contracts,Countries,Data,Data Mining,Data-as-a-Service,Database,International"
836,Omgili,"Search Forums,Q&amp;A,Social"
837,Omnidrive,Storage
838,OneLogin,"Security Enterprise,Cloud,Business"
839,Ontok,Mapping
840,Ontok Wikipedia,Wiki
841,Oodle,eCommerce Classifieds
842,Ookaboo,"Photos Semantics,Search"
843,ooVoo,"Chat Messaging,Video"
844,Ooyala Video Player,Video
845,Open Dining Network Food Ordering,Food Restaurants
846,Open Garden,Wi-Fi Mobile
847,Open Government Data Initiative,Government
848,Open Library Books,"Reference Books,Search"
849,Open Patent Services,"Government Search,Law"
850,OpenCNAM,Telephony
851,OpenCongress,Government
852,openDada,Music Social
853,OpenDOAR,Education Reference
854,OpenLayers,Mapping Viewer
855,OpenSecrets,"Government Politics,USA"
856,OpenSkyQuery SkyPortal,"Science Astronomy,Catalogs"
857,OpenSocial,Social
858,OpenSosius,Social
859,OpenStack,"Storage Cloud,Authentication,Identity"
860,OpenStrands,Music
861,OpenStreetMap,Mapping Viewer
862,OpenWeatherMap,Weather Mapping
863,OpenX,"Advertising Marketing,Enterprise"
864,OpinionCrawl Sentiment Analysis,Sentiment Semantics
865,Oracle NetSuite,Enterprise Customer Relationship Management
866,Orange Location,"Telephony Mobile,Mapping"
867,Orange SMS,"Messaging Advertising,Telephony,French"
868,Orb,"Media Video,Music,Social,Photos,TV"
869,Ordnance Survey Maps,"Mapping England,Viewer"
870,Orkut,Social
871,OtNet.tv,"Media Content,Streaming,TV,Video"
872,Outlook Notifications REST,"Office Email,Notifications"
873,Outside.in,"News Services Localization,Search,Localization,Data"
874,Pachube,"Other Internet of Things,Real Time,Tools"
875,Page2Images,"Screenshots Images,Web Site Management"
876,Pageflakes,Widgets
877,Panoramio,Photos Mapping
878,PaperBack Swap,Other Books
879,Paperboy,"News Services Location,Publishing"
880,Paris Is,"Travel Localization,French,News Services,Events,Transportation"
881,Parse,"Backend Mobile,Platform-as-a-Service"
882,Parsebot,"Parsing Bots,Content,Extraction"
883,Payment Vision Pay,Payments eCommerce
884,Payments Gateway,Payments Financial
885,Paymentwall,"Tools Payments,eCommerce"
886,PayPal,"Payments eCommerce,Financial,Invoicing"
887,PDF Alchemy,"Office Enterprise,Documents"
888,PDF Generator,"PDF Documents,Editing"
889,PDXCouncilConnect,Government
890,Pebble,"Other Bluetooth,Internet of Things,Internet of Things,Internet of Things,Smartphone,Wearable"
891,PeekaCity,"Mapping Real Estate,Localization"
892,PeekYou Social Analytics,Social Analytics
893,PeerIndex,Social
894,PerfectMoney,"Payments Stocks,Privacy,Financial"
895,Petfinder,"Search Adoption,Animals,Pets"
896,Phanfare,"Media Photos,Video"
897,PhishTank,Security Spam
898,pho.to,"Photos Editing,Entertainment,Humor,Humor"
899,Photobucket,Photos
900,PhotoShelter,Photos
901,Picitup,"Search Images,Mobile,Photos"
902,Picnik,Photos Editing
903,PicPlz,"Photos Mobile,Upload"
904,Pikeo,Photos
905,Pingdom,
906,Pinterest Domain,Social Photos
907,Pipl,"Identity Business,Data,Email,Intelligence,Search,Social"
908,Pixabay - Free Images,"Images Photos,Search"
909,Pixlab,"Media Analytics,Applications,Big Data,Content,Identity,Images,Machine Learning,Meme,Mobile,Recognition,Storage"
910,Pixlr,Photos Editing
911,Plancast,"Social Calendars,Mapping,Events"
912,Planning Center,"Tools Music,Religion,Calendars"
913,Plaxo,Enterprise Office
914,Playme,"Music Streaming,eCommerce,Audio"
915,Plazes,Social Mapping
916,Plivo,"Telephony Tools,Messaging,Text-to-Speech,Voice"
917,PLoS Search,Reference Science
918,Plum Fuse,"Telephony Cloud,Messaging,Security,Telephony,Text-to-Speech,Voice"
919,Plunker,"Tools Application Development,Social,Beauty"
920,Pocket,Bookmarks
921,Pogoplug,"Storage File Sharing,Backup"
922,Poloniex,Cryptocurrency Bitcoin
923,Poly9 FreeEarth,Mapping 3D
924,PopShops,eCommerce Referrals
925,PostalMethods,"Messaging Customization,Enterprise,Mail,Office,Postal"
926,Posterous,"Social Email,Photos"
927,Pownce,"Social Blogging,Blogging"
928,PriceGrabber,eCommerce Comparisons
929,PriceRunner,eCommerce
930,PriceSpin,"eCommerce Comparisons,Prices,Prices"
931,Primal,"Search Charts,Recommendations,Customization"
932,Printfection,"eCommerce Marketing,Business"
933,PRINTR,Printing 3D
934,Product Hunt,"Products Applications,Jobs,Lists,Ratings,Search"
935,Producteev,"Tools Chat,Collaboration"
936,ProProfs Quiz Maker,"Education Business,Merchants,Social,Tools"
937,Prosper,Financial
938,Prosperent,Advertising Referrals
939,Pryv,"Personal Information Management Data,Time,Tools"
940,Public Transit Data Community,"Transportation Aggregation,Travel"
941,PublicStuff,Government Cities
942,PubNub,Messaging
943,PubNub JavaScript Push,"Messaging Notifications,Search,Cloud"
944,PubSub,Search Blogging
945,Pusher,Tools Real Time
946,Pushover Message,"Messaging Mobile,Notifications"
947,Pushpin,Mapping Viewer
948,Pyton Flight Portal,"Air Travel Booking,Reservations,Tickets,Travel"
949,qr.cx,Tools URL Shortener
950,QuarkRank,"eCommerce Community,Recommendations"
951,QuickBase,"Platform-as-a-Service Applications,Automation,B2B,Cloud,Collaboration,Enterprise,Integration,Project Management,Spreadsheets"
952,QuickBlox,"Backend Backend-as-a-Service,Notifications,Backend-as-a-Service,Chat"
953,QuickBooks Payments,"Payments Credit Cards,eCommerce,Sales"
954,Quizlet Flashcards,Education Games
955,Quora,Q&amp;A Classification
956,Quova,Mapping Mapping
957,Qurl,
958,Qwerly,"Social Identity,Search"
959,Qype,"Recommendations England,Travel,Localization,Mapping"
960,r.im,
961,Rackspace Cloud Files,Storage Cloud
962,Rackspace Cloud Servers,Cloud Hosting
963,Rakuten,eCommerce Japanese
964,Random House,"Reference Books,Events"
965,RapLeaf,"Email Customization,Data,Social,Business"
966,Raw Sugar,"Other Bookmarks,Search"
967,Razorpay,Payments Indian
968,Readability,Bookmarks
969,ReadSocial,"Social Books,eBooks"
970,Real-time Rank Tracker,"Analytics Keywords,Marketing,Optimization,Real Time,Search,SEO"
971,Realtime Register,Reference
972,RealtyBaron Answers,Real Estate Q&amp;A
973,Recognize.im,"Photos Mobile,Recognition"
974,Recurly,"Payments Billing,Business"
975,Redbooth,"Collaboration API,Application Development,Business,Cloud,Enterprise,Project Management"
976,Reddit,News Services Social
977,REFUGE Restrooms,"Healthcare Community,Directories,Lists,Open Data,Ratings,Tools"
978,Rentometer,Real Estate
979,Repustate,Social Tools
980,RescueGroups,"Animals Adoption,Animals,Pets"
981,RescueTime,Project Management Enterprise
982,Resfly,Jobs Human Resources
983,Resgrid,"Collaboration Contacts,Earthquakes,Emergency,Fire,Location,Police,Project Management,Real Time"
984,Restricted Party Screening,"Enterprise Government,Compliance"
985,RetailMeNot.com Community Ideas,eCommerce Coupons
986,Retro Avatar,Random
987,Reuters Spotlight,News Services
988,Revel Systems,"eCommerce Customer Relationship Management,Reporting,Restaurants,Sales"
989,Review Trackers,"Tools Business,Feedback,Monitoring"
990,Rezgo,Travel Booking
991,Rhapsody,Music
992,Ribbet,"Photos Images,Editing,Design"
993,Ribbit,"Telephony Voice,VoIP"
994,Ringful,"Telephony Messaging,Mobile,Voice,Messaging"
995,RiteTag,"Social Analytics,Keywords,SEO,Tagging,Tweets"
996,Riya,Photos
997,Roku Web Service,"Media Movies,TV,Video"
998,Roomorama,Travel
999,Rotten Tomatoes,Recommendations Movies
1000,Rovi Cloud Services,"Entertainment Advertising,Movies,Music,Recommendations,Video"
1001,RPM Software,Enterprise Customer Relationship Management
1002,RubyGems,"Reference Guides,Application Development"
1003,RunKeeper Health Graph,"Sports Community,Fitness,Health,Mapping,Social"
1004,RxNLP - Cluster Sentences and Short Texts,"Machine Learning Data Mining,Natural Language Processing"
1005,RxNLP Text Similarity,"Text Analytics,Big Data,Comparisons,Data Mining,Natural Language Processing,Words"
1006,S3Bubble,"Streaming Audio,Cloud,Content,Content Management,Monetization,Video"
1007,SaasGrid,"Tools Enterprise,Office,Cloud"
1008,Sabre,"Travel Air Travel,Booking,Data,Intelligence,REST,SDK"
1009,Salesforce Chatter Rest,"Enterprise Customer Relationship Management,Office,Salesforce,Social"
1010,San Francisco Crimespotting,"Government Crime,Data,Feeds"
1011,SAP Anywhere,"Business eCommerce,ERP"
1012,Saplo Text Analysis,"Tools Text,Semantics,Classification"
1013,Scalarium,Cloud Hosting
1014,Scalr,"Hosting Cloud,Webhooks"
1015,Schoology,Education
1016,Science Museum,"Education Reference,Science,England,Museums"
1017,Scoop.it,Social
1018,Scribble Maps,"Mapping Accounts,Drawing,Social"
1019,Scribd iPaper,Office Enterprise
1020,Scribd Platform,Office Enterprise
1021,SDSS ImgCutout,"Science Astronomy,Mapping"
1022,Sears,eCommerce
1023,SeatGeek,"Events Search,Sports,Tickets"
1024,SecondLife,Games Mapping
1025,SecureNet,"Payments eCommerce,eCommerce"
1026,Seesmic,"Video Messaging,Community"
1027,Semantic Contextual Advertising,Advertising Semantics
1028,SemanticHacker,Search Semantics
1029,Semantria,"Tools Analytics,Sentiment,Text,API"
1030,SEMrush,"Search Marketing,SEO"
1031,SEMrush Traffic Analytics,"Data-as-a-Service Analytics,Competitions,Data,Engagement,Intelligence,Marketing,Monitoring,SEO"
1032,SendGrid,"Email Analytics,Marketing,Protocol,Webhooks"
1033,Sendy,Email Newsletter
1034,Sensebot,"Search Summary,Semantics"
1035,Sensis Business Search,"Reference Australian,Directories,Search,Localization"
1036,SEOmoz,"Search Analytics,SEO,Business"
1037,Serpstat,"Search Marketing,SEO"
1038,ServiceM8,"Enterprise Jobs,Invoicing,Time Tracking,Business"
1039,ServiceNow,"Customer Service API Management,Cloud,Support"
1040,Shadows,Bookmarks
1041,ShareASale Affiliate,"Other Referrals,Marketing"
1042,SharedBook,Other Books
1043,ShareFile,File Sharing
1044,Shizzow,Social Mapping
1045,Shopify Admin,"eCommerce Business,Merchants"
1046,Shopify Billing,"Merchants Billing,eCommerce"
1047,Shopify Checkout,"Merchants eCommerce,Payments"
1048,Shopify Embedded App JavaScript,"Merchants eCommerce,Sales"
1049,Shopping.com,eCommerce
1050,ShopStyle,"eCommerce Fashion,Referrals"
1051,Shopzilla,"eCommerce Comparisons,Fashion"
1052,Short and tweet,URL Shortener
1053,SHOUTcast Radio,"Reference Audio,Music"
1054,Shrten,URL Shortener
1055,ShutterPoint,Photos Images
1056,SimpleAPI,Photos Japanese
1057,SimpleGeo,"Mapping Database,Viewer"
1058,SimplyHired Jobs,"Advertising Jobs,Jobs,Search,Tools"
1059,SinglePlatform,"Food Localization,Restaurants,Restaurants,Business,API,eCommerce"
1060,SiteSummary,Social Web Site Management
1061,Skimlinks Link Monetization,eCommerce Referrals
1062,Skydeck,Telephony Mobile
1063,Skype,"Telephony Chat,Messaging,Video,Voice"
1064,Skyscanner Live Pricing,"Travel Air Travel,B2B,Comparisons,Prices,Rentals,Search,Tourism,Transportation"
1065,Slack Bot,"Bots Chat,Collaboration,Messaging"
1066,Slack Conversations,"Messaging Chat,Collaboration,Real Time"
1067,Slack Incoming Webhooks,"Messaging Collaboration,Social,Webhooks"
1068,Slack Real Time Messaging,"Messaging Chat,Collaboration"
1069,Slack Web,"Tools Collaboration,File Sharing,Search,Social"
1070,SlashDB,"Database Enterprise,NoSQL,SQL"
1071,sletoh.com,"Travel Search,Comparisons,Hotels,Prices"
1072,SlideShare,Office Enterprise
1073,Smart-IP Geo-IP,Mapping
1074,SMS,"Messaging Business,Marketing,Mobile"
1075,SMSMyBus,"Transportation Travel,Mapping"
1076,Smugmug,Photos
1077,Snapr,"Photos Social,Mapping,Mapping"
1078,Snipshot,Photos
1079,SNOCAP,Music
1080,Social Actions,"Other Community,Events,Charity"
1081,Social Archive,Search Social
1082,Social Mention,Search Social
1083,Social Share Count,"Social Analytics,Measurements"
1084,SocialOomph,Social
1085,Socrata Open Data,Government Reference
1086,SoftLayer,
1087,Softonic,Reference
1088,Song.ly,Music Social
1089,Songkick,Music Events
1090,Songza,Music
1091,sonicAPI.com,Music Audio
1092,Sonos Music,Music Internet of Things
1093,SoundCloud,"Music Audio,Social"
1094,SpamOn,Email Spam
1095,Sparklines,"Other Charts,Graphics"
1096,SplogSpot,Search Blogging
1097,SpokenBuzz,Telephony
1098,Spore,Games
1099,Sportradar,"Sports Data,Fantasy Sports,Gambling,Images,Real Time,Sports"
1100,Sports Data,"Sports API,Content,Data,Data-as-a-Service,Fantasy Sports,Images,Real Time,Sports,Widgets"
1101,Sports Power,"Sports Education,Ratings"
1102,Spotify Metadata,Music Social
1103,Spotify Web,Music Data Mining
1104,Springer Metadata,Reference Science
1105,SpringWidgets,Widgets Gadgets
1106,Spy Dialer,Telephony
1107,SQLify,"Big Data Conversions,Database"
1108,Stack Overflow,Q&amp;A Application Development
1109,STAT!Ref,"Medicine Medical,Reference,Science"
1110,Steply,"Photos Mobile,Social"
1111,stikkit,Personal Information Management
1112,Strava,"Social Fitness,Mapping,Ride Share,Sports"
1113,StrikeIron,"Other Marketplace,Catalogs"
1114,StrikeIron IP Address Lookup,"Reference Data,Verification"
1115,StrikeIron Reverse Phone and Address Append,"Reference eCommerce,Shipping,Data,Verification"
1116,StrikeIron SMS Mobile Marketing,Messaging
1117,Stripe,"Payments Billing,Credit Cards,Financial,Invoicing"
1118,stSoftware Job Track,Enterprise
1119,StubHub,"Events eCommerce,Lists,Purchasing,Tickets"
1120,Stupeflix,"Video Photos,Music,Editing"
1121,Subj3ct,Other Semantics
1122,SugarCRM,Enterprise Customer Relationship Management
1123,SugarSync,"Storage Backup,Cloud"
1124,Superfeedr,Feeds Real Time
1125,SupportFu,"Enterprise Customer Service,Support"
1126,Swoogle,"Classification Search,Database,Semantics"
1127,Syndic8,"Feeds News Services,Search"
1128,Syndicate Plus,"eCommerce Discounts,Products"
1129,Tagalus,Social Blogging
1130,Taglets,Classification Social
1131,Tagoo,"Search Audio,Video"
1132,Tailrank,"Search Blogging,News Services"
1133,TappIn,"Storage Cloud,Social"
1134,Tarpipe,Social Blogging
1135,Taxi Fare Finder,Transportation Prices
1136,Team POPONG POODL,"Government Korean,Politics"
1137,TeamSnap,Sports Management
1138,TEC Mailing,"Mail Addresses,Billing,Campaigns,Marketing,Validation"
1139,Technorati,Search Blogging
1140,TelAPI,"Telephony Messaging,Voice,Messaging,USA,Canadian"
1141,Telegram Bot,"Bots Cloud,Intelligence,Messaging,Mobile"
1142,Telize,Mapping
1143,Textamerica,Messaging
1144,TFL Cycle Hire,"Transportation Cycling,England,Real Time"
1145,The Beacon Registry,"Internet of Things Bluetooth,Mobile"
1146,The Movie Database (TMDb),"Entertainment Movies,Reference,TV,Video"
1147,The New York Times Archive,News Services History
1148,The New York Times Article Search,"News Services Reference,Search"
1149,The New York Times Best Sellers,"News Services Books,eCommerce"
1150,The New York Times Movie Reviews,"Movies Actors,News Services"
1151,The New York Times Newswire,"News Services Metadata,Reference,Search"
1152,The Open Movie Database,"Search Movies,Media"
1153,Thesaurus,Reference Translation
1154,TheTVDB.com,Video TV
1155,TheyWorkForYou,Government England
1156,Thinknum,"Financial Data,Economics,Stocks,Stocks,Stocks"
1157,This Is My Jam,"Music Social,Social,Recommendations"
1158,ThisNext,Recommendations eCommerce
1159,Thomson Reuters Open Calais,"Tagging Analytics,Financial,Machine Learning,Metadata"
1160,Thrutu,"Telephony Mobile,Real Time"
1161,Thumbalizr,"Photos Images,Screenshots"
1162,Ticketfly Affiliate,"Events Marketing,Music,Tickets"
1163,Time Extractor,"Calendars Extraction,Recognition,Text,Time"
1164,TimesURL,
1165,TimeZoneDb,Reference Time
1166,Tiny-URL Open,Tools URL Shortener
1167,Tinylink,
1168,Tinysong,"Music Social,Streaming"
1169,TokBox,"Security Identity,Authentication,Social"
1170,TomTom Geocoding,Mapping
1171,Toodledo,"Personal Information Management Lists,Tasks"
1172,Topicalizer,Other Classification
1173,Topsy,"Social Data,Analytics"
1174,Touchnote,"Photos Postcards,Printing"
1175,TouchTunes Jukebox,"Music Entertainment,Catalogs,Platform-as-a-Service"
1176,TourCMS Marketplace,"Travel Booking,Reservations,Tourism"
1177,tr.im,
1178,TradeGecko,"Enterprise Ordering,Inventory,Shipping"
1179,Tradeshift,"Enterprise Social,Business,Invoicing"
1180,Trailer Addict,Video Movies
1181,Traitify,"API Predictions,Testing"
1182,trakt.tv,"Recommendations Movies,TV,Video"
1183,TransiCast,Transportation Scheduling
1184,Travel Booking Network,"Travel Hotels,Tickets,Booking"
1185,Travel IQ,"Travel German,Booking"
1186,Travel Portal,Travel Booking
1187,TravelFusion,"Travel Air Travel,Search,Booking"
1188,Travelport,"Travel Air Travel,API,API Management,API Strategy,Application Development,Booking,Content,Developers,SDK,Travel"
1189,TravEnjoy,Travel
1190,Trello,"Project Management Collaboration,Tasks"
1191,Trendrr,"News Services Social,Visualizations,Charts"
1192,TriMet,"Transportation Travel,Government"
1193,TripAdvisor,"Travel Recommendations,Social"
1194,TripIt,Travel
1195,Tropo Scripting,"Telephony Cloud,Messaging,USA,Voice"
1196,True Knowledge,"Search Q&amp;A,Semantics"
1197,Trulia,Real Estate
1198,Trynt,"Other Words,Extraction"
1199,Tumblr,Social Blogging
1200,Tutorials Garden,Other
1201,TVmaze,"TV Actors,Entertainment,Movies"
1202,TVRage,"Social Entertainment,TV"
1203,Tweet Scan,"Search Blogging,Social"
1204,Tweetmeme,Social Blogging
1205,TweetPhoto,"Photos Social,Blogging"
1206,Tweetvite,Events Social
1207,Twick.it,Blogging Social
1208,Twilio,"Telephony Cloud,Text-to-Speech,Voice,Webhooks"
1209,Twilio SMS,"Messaging Telephony,USA"
1210,Twinfluence,Social Blogging
1211,Twitgoo,Social Photos
1212,TwitPic,"Photos Blogging,Social"
1213,Twitter,Social Blogging
1214,Twitter Grader,Social Blogging
1215,Twitter Search,Search Social
1216,Twitter Streaming,Social Real Time
1217,TwitterCounter,"Social Analytics,Blogging"
1218,Twittervision,"Messaging Social,Blogging"
1219,twt.fm,Music Social
1220,TypeKey,Security
1221,TypePad,Blogging Business
1222,Uber,"Transportation Geography,Location,Prices,Real Time,Travel"
1223,uBio Namebank,"Science Search,Animals"
1224,UC Berkeley Registration Status Check,Education
1225,uClassify,Tools
1226,Udacity Course Catalog,Education Reference
1227,UK Street Level Crime,Government Crime
1228,Unbounce,"Advertising Marketing,Testing,Web Site Management"
1229,Union County NC GIS,"Government Mapping,Mapping"
1230,Unity Scripting,"Games Animation,Audio,Graphics,Social"
1231,University of British Columbia Labs,"Science Education,Canadian"
1232,UPC Database,"Barcodes Database,eCommerce,Products,Reference"
1233,Upcoming.org,Events Calendars
